iso	stack	task	median_prove_s	peak_rss_MiB	verified	valid	note
2026-06-09T18:48:20.925Z	baseline	hard2pow21	30.85	3453	1	1	
2026-06-09T21:03:54.664Z	sparse-gemini-mask	hard2pow21	27.94	3067	1	1	
2026-06-09T22:45:46.285Z	sparsemask-arm64asm	hard2pow21	23.35	3504	1	1	
2026-06-10T02:07:52.556Z	legacymsm-signed-dedup	hard2pow21	950.18	3509	1	1	
2026-06-10T02:53:20.734Z	opt-asm-fused	hard2pow21	23.76	3425	1	1	
2026-06-10T03:31:10.803Z	opt-asm-pkmem	hard2pow21	23.08	3152	1	1	
